year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-10,-182,-117,22
1988,58,-205,-100,8
1989,-31,-238,-205,28
1990,-30,-218,-11,35
1991,4,-167,-185,12
1992,60,-184,-60,147
1993,15,-195,-63,166
1994,132,-152,-101,78
1995,55,-55,-122,94
1996,22,-69,-50,105
1997,0,-58,-83,137
1998,62,-53,-7,79
1999,86,-128,-156,64
2000,3,-121,76,210
2001,47,-149,5,70
2002,59,-40,-144,84
2003,-26,-62,-91,147
2004,41,-143,-19,113
2005,33,-153,-42,79
2006,68,-130,-18,188
2007,84,-69,-11,77
2008,45,-216,75,100
2009,19,-151,-83,112
2010,76,-63,-10,135
2011,32,-144,1,29
2012,-19,-98,-106,201
2013,16,-117,-91,90
2014,60,-36,-77,129
2015,62,-9,79,52
2016,17,-131,-131,101
