year,annual-precipitations
1987,280
1988,360
1989,182
1990,426
1991,246
1992,561
1993,515
1994,635
1995,578
1996,555
1997,615
1998,600
1999,476
2000,697
2001,561
2002,573
2003,547
2004,556
2005,470
2006,677
2007,626
2008,560
2009,485
2010,679
2011,540
2012,544
2013,482
2014,689
2015,749
2016,455
