year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,38,60,121,62
1988,102,74,135,50
1989,37,25,49,72
1990,50,64,234,77
1991,52,67,73,54
1992,119,88,165,190
1993,77,77,159,202
1994,190,92,201,153
1995,119,175,141,144
1996,60,159,194,141
1997,59,187,193,175
1998,124,163,196,117
1999,131,122,121,102
2000,54,120,281,242
2001,90,105,248,118
2002,120,221,112,119
2003,28,189,148,181
2004,84,119,209,144
2005,79,84,193,114
2006,98,115,246,218
2007,130,188,201,107
2008,94,50,284,132
2009,59,113,165,148
2010,111,175,226,168
2011,83,148,236,72
2012,43,142,127,231
2013,56,135,161,130
2014,119,218,191,160
2015,113,236,311,89
2016,60,129,128,139
