year,annual-frozen-days
1987,143
1988,145
1989,78
1990,83
1991,114
1992,60
1993,125
1994,71
1995,131
1996,150
1997,126
1998,124
1999,117
2000,86
2001,118
2002,114
2003,127
2004,133
2005,130
2006,110
2007,103
2008,94
2009,123
2010,162
2011,105
2012,111
2013,127
2014,88
2015,85
2016,98
