year,F1,F3,M4
,label F1,label F3,label M4
1987,92,152,3
1988,121,163,0
1989,115,162,3
1990,106,165,1
1991,115,164,3
1992,109,157,1
1993,108,164,2
1994,99,162,0
1995,104,165,2
1996,100,158,0
1997,114,159,2
1998,108,160,2
1999,106,159,1
2000,112,163,2
2001,104,156,2
2002,123,169,1
2003,108,169,3
2004,116,169,1
2005,118,171,1
2006,97,162,0
2007,110,159,0
2008,115,163,1
2009,120,166,3
2010,99,148,2
2011,112,160,1
2012,119,165,0
2013,105,162,0
2014,95,159,3
2015,111,161,2
2016,112,161,3
2016
2017,104,155,1
2018,91,156,1
2019,107,154,2
2020,107,161,1
2021,84,149,1
2022,91,153,3
2023,118,165,2
2024,96,152,3
2025,120,164,1
2026,110,156,2
2027,9,153,4
2028,99,154,2
2029,102,158,1
2030,120,161,1
2031,97,158,1
2032,94,152,4
2033,96,162,3
2034,107,158,1
2035,106,154,3
2036,95,152,1
2037,93,160,1
2038,111,160,0
2039,92,147,3
2040,94,153,1
2041,107,157,1
2042,111,159,4
2043,102,154,1
2044,71,137,0
2045,84,152,5
2046,109,161,1
