year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,94,-81,12,257
1988,194,-148,-3,131
1989,114,-128,-131,200
1990,139,-153,-127,220
1991,112,-71,-152,120
1992,94,-84,-10,156
1993,32,40,-51,176
1994,184,-67,-20,166
1995,175,-173,-183,128
1996,65,-91,-121,143
1997,13,-53,-88,152
1998,117,-9,-104,232
1999,137,-40,1,107
2000,124,-99,45,446
2001,106,-81,-9,73
2002,97,-61,-62,326
2003,39,-34,-82,155
2004,89,-122,-32,191
2005,30,-73,-115,266
2006,112,-47,-87,287
2007,73,-115,19,132
2008,129,-66,62,231
2009,38,-104,33,287
2010,103,-180,29,144
2011,101,-93,-22,151
2012,39,-1,76,320
2013,139,-130,-71,234
2014,218,-63,-80,196
2015,78,-54,-51,356
2016,160,-34,4,111
