year,annual-precipitations
1987,864
1988,833
1989,753
1990,779
1991,623
1992,826
1993,831
1994,919
1995,711
1996,672
1997,705
1998,900
1999,890
2000,1190
2001,736
2002,947
2003,758
2004,800
2005,775
2006,956
2007,769
2008,1008
2009,883
2010,745
2011,767
2012,1012
2013,845
2014,950
2015,974
2016,859
