year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,4.2,10.7,14.6,8.1
1988,6.4,11.7,14.3,9.0
1989,7.5,11.3,15.8,8.5
1990,7.8,11.5,15.7,8.8
1991,5.1,10.5,16.0,8.7
1992,7.0,12.3,14.6,7.9
1993,7.0,11.4,14.0,7.5
1994,6.2,10.6,14.7,10.2
1995,6.5,11.4,16.7,9.1
1996,5.2,10.2,15.1,8.4
1997,6.5,11.7,15.8,9.5
1998,7.9,11.2,15.0,9.0
1999,6.9,11.7,15.8,9.3
2000,7.1,11.4,15.4,8.8
2001,5.5,11.2,14.7,9.8
2002,7.6,11.2,14.8,9.1
2003,6.4,12.0,15.9,8.8
2004,6.5,11.7,15.7,9.6
2005,7.2,11.5,15.7,9.5
2006,5.9,11.7,16.5,10.5
2007,7.5,12.6,14.8,9.7
2008,7.2,11.8,15.2,8.4
2009,5.9,12.0,15.2,9.1
2010,4.6,11.4,15.1,7.0
2011,6.1,12.1,14.5,10.3
2012,7.1,10.6,14.6,8.2
2013,4.5,10.3,15.7,9.9
2014,7.3,12.3,15.4,9.7
2015,5.9,10.7,14.3,10.7
2016,6.5,11.7,15.7,8.9
