year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,60,-5,-89,77
1988,180,-106,-138,108
1989,20,-135,-186,112
1990,24,-114,-112,117
1991,-3,-144,-79,64
1992,90,-166,-187,128
1993,-29,-192,-192,189
1994,78,-59,-69,114
1995,133,-13,-39,97
1996,0,-145,-248,144
1997,85,-54,-104,94
1998,-11,-167,-147,175
1999,53,-106,-163,91
2000,95,-219,-64,20
2001,85,-157,-196,113
2002,76,-112,-61,152
2003,0,-229,-305,52
2004,17,-174,54,198
2005,156,-34,-30,106
2006,107,-47,-83,85
2007,73,-95,-58,75
2008,156,-102,-93,104
2009,107,-81,-64,177
2010,91,-94,-44,208
2011,53,-220,-117,105
2012,46,-127,-155,238
2013,67,-15,-120,153
2014,10,-197,46,127
2015,105,-171,-234,109
2016,206,42,-190,125
