year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-0.7,12.3,17.8,5.9
1988,3.8,13.7,17.3,6.1
1989,4.8,13.2,17.9,5.6
1990,6.3,13.7,17.5,6.4
1991,3.2,11.7,19.4,5.1
1992,3.8,14.5,19.2,5.8
1993,3.1,15.2,17.2,5.1
1994,4.4,13.9,18.9,7.3
1995,4.0,13.2,18.1,5.9
1996,0.8,13.1,15.9,5.1
1997,3.7,13.0,18.3,5.8
1998,4.9,14.7,17.3,5.0
1999,4.0,14.3,19.3,5.7
2000,4.9,15.3,17.5,7.7
2001,4.8,13.7,18.0,6.2
2002,4.7,14.5,17.7,7.2
2003,2.9,16.0,20.1,5.7
2004,3.2,13.0,17.8,6.0
2005,2.8,14.6,18.1,6.5
2006,1.5,14.3,19.8,8.9
2007,6.0,15.7,16.9,5.5
2008,5.3,15.2,17.6,6.3
2009,2.1,15.4,19.0,7.0
2010,2.1,13.9,17.9,4.8
2011,4.4,16.0,18.6,7.4
2012,3.6,14.8,18.8,6.8
2013,1.8,13.4,18.8,7.3
2014,6.5,15.2,18.3,8.4
2015,4.0,14.6,20.0,8.6
2016,4.6,14.2,19.6,6.0
