year,annual-precipitations
1987,691
1988,747
1989,539
1990,624
1991,518
1992,592
1993,543
1994,755
1995,856
1996,385
1997,738
1998,602
1999,555
2000,555
2001,617
2002,818
2003,428
2004,819
2005,916
2006,810
2007,760
2008,831
2009,888
2010,885
2011,665
2012,816
2013,848
2014,780
2015,651
2016,944
