year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,62,155,1
1988,78,136,0
1989,74,135,1
1990,73,130,0
1991,82,133,1
1992,60,127,0
1993,81,137,0
1994,52,126,0
1995,77,134,0
1996,83,137,0
1997,66,127,0
1998,56,125,0
1999,74,132,0
2000,63,124,0
2001,65,137,2
2002,63,129,1
2003,65,132,0
2004,81,132,1
2005,87,140,0
2006,84,135,0
2007,67,133,1
2008,61,139,2
2009,72,132,0
2010,99,140,0
2011,25,138,1
2012,71,125,0
2013,59,136,0
2014,80,138,0
2015,9,145,2
2016,57,139,0
2016
2017,71,140,1
2018,60,132,0
2019,51,121,0
2020,63,120,1
2021,53,121,1
2022,60,141,0
2023,52,125,0
2024,60,131,0
2025,75,139,0
2026,51,135,0
2027,54,140,0
2028,56,121,0
2029,46,118,0
2030,45,127,1
2031,59,135,0
2032,30,146,0
2033,75,137,1
2034,48,132,1
2035,56,132,0
2036,66,131,0
2037,67,128,0
2038,76,126,0
2039,71,130,0
2040,62,135,1
2041,63,135,1
2042,67,129,0
2043,74,138,1
2044,53,130,0
2045,70,134,0
2046,51,116,1
