year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1309,11,-204,9
1988,1288,10,11,1
1989,1562,12,-280,4
1990,1684,11,-232,6
1991,1589,11,-310,1
1992,1771,11,-165,6
1993,1246,9,-179,2
1994,1765,13,-208,0
1995,1679,12,-154,2
1996,1380,10,-298,0
1997,1534,9,-267,5
1998,1272,9,-109,5
1999,1557,8,-315,8
2000,1372,10,-197,4
2001,1455,7,-234,5
2002,1493,10,-187,5
2003,1629,13,-138,3
2004,1671,11,-128,3
2005,1486,9,-232,4
2006,1671,12,-76,4
2007,1346,9,-267,2
2008,1327,9,-231,5
2009,1396,10,-64,11
2010,1650,10,-134,2
2011,1544,12,-244,8
2012,1539,9,-136,3
2013,1345,9,-120,11
2014,1646,11,-251,6
2015,1392,7,-281,4
2016,1442,10,-123,3
2016
2017,1803,14,-298,2
2018,1550,10,-137,3
2019,1478,10,-270,1
2020,1803,12,-292,0
2021,1686,10,-350,1
2022,1636,13,-233,7
2023,1847,11,-291,0
2024,1861,10,-296,0
2025,1713,12,-134,5
2026,1504,11,-353,4
2027,1604,11,-167,7
2028,1697,12,-263,0
2029,1562,11,-190,3
2030,1666,12,-298,3
2031,1799,11,-141,6
2032,1495,10,-244,4
2033,1865,11,-186,3
2034,1799,11,-316,3
2035,1617,10,-108,1
2036,1451,9,-152,4
2037,1658,11,-281,1
2038,1875,11,-145,0
2039,1972,12,-170,0
2040,1715,8,-364,2
2041,1768,12,-105,2
2042,1606,9,-242,0
2043,1633,11,-225,3
2044,1647,11,-179,2
2045,1664,14,-165,1
2046,1862,12,-321,10
