year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,113,347,411,96
1988,131,296,405,106
1989,108,347,439,119
1990,133,383,474,103
1991,112,397,450,100
1992,115,360,424,88
1993,113,333,422,96
1994,131,361,463,110
1995,135,375,397,118
1996,128,316,319,92
1997,140,302,360,99
1998,128,305,373,95
1999,123,360,406,93
2000,126,340,419,104
2001,107,383,410,98
2002,118,358,413,94
2003,112,383,428,91
2004,117,385,408,98
2005,124,386,475,107
2006,117,412,453,93
2007,123,352,403,102
2008,128,337,403,97
2009,141,364,412,96
2010,114,370,477,107
2011,120,410,439,122
2012,135,335,416,93
2013,114,378,474,105
2014,124,383,408,99
2015,135,393,431,91
2016,112,332,418,92
