year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,7.3,14.5,21.1,9.8
1988,7.7,14.2,19.5,8.1
1989,6.7,15.5,21.4,11.7
1990,8.5,15.8,23.3,8.9
1991,6.9,15.2,22.7,9.3
1992,6.9,15.0,20.4,9.5
1993,7.4,14.7,19.1,8.8
1994,8.4,14.8,20.9,11.5
1995,8.5,17.0,20.2,11.0
1996,8.0,14.5,18.5,10.1
1997,9.7,14.9,20.4,11.2
1998,9.6,13.9,20.5,9.4
1999,7.6,16.0,21.5,9.4
2000,7.1,15.2,19.5,9.4
2001,8.0,15.6,19.8,7.7
2002,7.7,15.2,19.4,10.2
2003,7.0,16.4,21.2,9.1
2004,6.9,15.5,19.9,8.2
2005,5.2,14.9,18.7,8.1
2006,5.6,15.3,19.5,9.7
2007,8.4,15.9,20.1,9.1
2008,9.0,15.6,20.2,8.4
2009,8.5,16.4,21.5,11.0
2010,7.2,16.5,22.4,9.2
2011,7.4,17.2,20.6,10.5
2012,7.5,15.1,20.6,9.8
2013,6.9,14.2,21.4,8.9
2014,7.7,15.2,20.2,10.4
2015,6.6,16.6,20.3,10.2
2016,8.2,15.4,22.1,10.3
