year,annual-precipitations
1987,775
1988,577
1989,785
1990,607
1991,546
1992,508
1993,675
1994,595
1995,918
1996,993
1997,894
1998,398
1999,595
2000,651
2001,698
2002,727
2003,760
2004,459
2005,370
2006,672
2007,449
2008,546
2009,594
2010,617
2011,353
2012,463
2013,683
2014,477
2015,429
2016,736
