year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,247,74,143,311
1988,192,219,38,129
1989,129,200,78,378
1990,153,132,86,235
1991,233,57,41,215
1992,71,125,106,206
1993,34,214,122,305
1994,166,154,24,250
1995,188,109,112,509
1996,419,188,79,307
1997,130,175,126,463
1998,66,179,94,60
1999,126,127,159,183
2000,32,129,57,434
2001,481,62,51,104
2002,166,106,110,345
2003,269,126,79,286
2004,92,74,126,168
2005,55,106,25,183
2006,135,111,106,320
2007,147,151,63,89
2008,151,192,40,163
2009,167,83,72,272
2010,265,79,32,241
2011,171,15,75,94
2012,23,172,49,219
2013,321,90,72,200
2014,225,61,32,159
2015,58,87,77,207
2016,374,188,43,131
