year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,66,44,80,97
1988,49,79,3,35
1989,47,37,233,165
1990,50,76,71,244
1991,72,89,1,116
1992,61,63,14,116
1993,34,25,8,155
1994,87,130,57,228
1995,31,104,171,227
1996,362,130,101,288
1997,53,76,55,340
1998,140,143,82,289
1999,163,42,169,208
2000,107,187,63,272
2001,108,30,20,145
2002,48,183,137,251
2003,262,41,7,205
2004,170,226,78,400
2005,147,115,99,276
2006,171,56,113,123
2007,123,113,26,177
2008,159,207,39,414
2009,157,106,112,204
2010,349,160,16,337
2011,138,101,95,165
2012,70,134,189,222
2013,302,180,88,181
2014,268,77,61,146
2015,272,40,14,213
2016,274,43,35,219
