year,F1,F3,M4
,label F1,label F3,label M4
1987,25,99,9
1988,23,105,9
1989,20,109,6
1990,26,108,9
1991,16,106,9
1992,24,102,9
1993,24,108,7
1994,23,104,8
1995,25,103,9
1996,21,108,6
1997,21,109,6
1998,25,109,7
1999,36,106,9
2000,27,106,11
2001,21,112,9
2002,19,105,9
2003,36,115,8
2004,16,107,8
2005,26,114,7
2006,27,108,10
2007,18,110,8
2008,24,99,9
2009,30,104,7
2010,19,110,8
2011,19,109,8
2012,21,101,8
2013,19,110,10
2014,16,106,9
2015,25,113,10
2016,28,106,7
2016
2017,23,113,7
2018,20,109,9
2019,23,111,9
2020,17,101,11
2021,16,102,7
2022,19,105,9
2023,18,107,7
2024,19,104,7
2025,19,105,8
2026,18,107,7
2027,20,101,10
2028,27,103,9
2029,22,103,8
2030,22,108,7
2031,16,102,8
2032,16,107,8
2033,20,114,10
2034,29,104,8
2035,20,106,8
2036,19,102,9
2037,19,111,6
2038,18,98,10
2039,17,110,10
2040,23,109,9
2041,14,99,9
2042,15,108,7
2043,24,107,9
2044,20,106,9
2045,16,107,8
2046,22,99,8
