year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,44,-21,-198,233
1988,83,-24,-169,138
1989,-14,-119,-313,35
1990,-7,-54,-240,240
1991,74,-197,-196,109
1992,40,10,-69,241
1993,-66,-68,207,306
1994,-4,-55,-62,113
1995,132,-66,-50,141
1996,35,-142,-113,255
1997,-6,-75,-236,136
1998,-20,-40,-161,74
1999,101,-114,-149,181
2000,-44,-179,-227,211
2001,105,-84,-215,73
2002,-39,-160,-105,290
2003,-74,-342,-362,235
2004,60,-283,-213,160
2005,-16,-113,-310,53
2006,76,-251,-206,84
2007,9,-70,-79,-1
2008,-5,-83,36,125
2009,59,-245,-271,121
2010,52,-117,-199,91
2011,28,-286,-111,120
2012,-54,-44,-100,116
2013,71,3,-207,170
2014,112,-216,-94,263
2015,73,-222,-276,42
2016,51,-22,-305,118
