year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,10,1,-127,4,5,-244,64,6,146
1988,18,0,-71,3,18,-273,43,12,72
1989,15,4,-22,4,10,-217,51,12,97
1990,17,2,-103,6,8,-242,64,13,164
1991,27,0,-56,4,10,-275,43,16,165
1992,24,7,-106,4,5,-262,43,21,173
1993,10,7,-103,6,9,-331,54,16,130
1994,13,4,-74,5,9,-271,39,31,98
1995,10,2,-17,5,2,-202,56,12,96
1996,26,1,-104,4,14,-269,43,23,112
1997,18,2,0,4,7,-133,52,7,198
1998,12,5,-11,4,2,-177,59,22,192
1999,15,3,16,5,2,-154,60,17,130
2000,32,2,-41,4,5,-95,38,32,244
2001,20,0,-12,5,1,-178,52,21,145
2002,14,1,-128,5,3,-259,60,22,200
2003,24,0,-106,6,3,-232,43,18,91
2004,27,0,-41,5,9,-154,49,19,262
2005,14,0,-68,4,7,-274,61,16,55
2006,18,1,-86,4,6,-242,48,17,141
2007,26,3,-123,6,20,-325,48,19,85
2008,23,0,-81,4,11,-270,56,23,95
2009,17,0,-2,6,9,-182,64,26,210
2010,18,0,-100,7,13,-256,60,18,131
2011,31,1,-72,4,18,-248,51,21,129
2012,7,1,-30,3,8,-214,63,9,107
2013,13,0,-45,3,2,-81,53,6,136
2014,22,3,-108,5,3,-249,45,22,246
2015,10,3,-110,4,3,-224,62,6,191
2016,25,0,-26,1,7,-107,53,29,203
2016
2017,39,0,-205,7,15,-421,33,8,152
2018,39,1,-165,9,17,-409,45,11,61
2019,32,4,-110,6,8,-343,32,11,129
2020,40,2,-223,8,15,-430,30,8,93
2021,43,0,-160,8,15,-419,32,19,119
2022,35,2,-97,4,3,-192,36,14,153
2023,42,1,-114,6,11,-301,28,13,207
2024,34,0,-185,7,16,-385,26,14,93
2025,27,7,-171,9,17,-378,45,15,64
2026,29,1,-180,4,4,-329,29,10,167
2027,37,2,-195,6,18,-366,40,9,90
2028,31,0,-153,7,12,-309,38,23,139
2029,31,0,-128,8,11,-300,26,22,133
2030,36,6,-95,8,11,-351,33,27,67
2031,30,0,-155,7,6,-322,36,14,76
2032,43,2,-205,5,23,-325,28,6,235
2033,42,0,-135,7,9,-347,27,15,82
2034,30,0,-125,6,10,-312,45,16,213
2035,21,0,-77,6,10,-320,56,10,210
2036,51,0,-164,7,19,-445,37,10,67
2037,32,0,-56,7,12,-236,38,5,139
2038,49,1,-114,8,14,-385,33,21,79
2039,20,4,-143,7,4,-290,55,6,177
2040,51,1,-208,3,23,-354,28,16,177
2041,23,2,-135,4,6,-296,42,5,130
2042,32,1,-146,7,13,-235,23,7,251
2043,42,0,-192,6,32,-421,42,13,73
2044,44,6,-183,7,10,-334,40,10,176
2045,36,4,-179,8,15,-435,26,6,35
2046,20,1,-118,5,8,-335,53,2,40
