year,A1,A2,A3
,label A1,label A2,label A3
1987,23,2516,167
1988,51,2293,365
1989,25,2387,192
1990,39,2322,278
1991,36,2441,309
1992,29,2595,221
1993,29,2564,239
1994,26,2751,197
1995,20,2458,193
1996,25,2709,263
1997,24,2477,206
1998,14,2659,127
1999,16,2474,170
2000,40,2576,217
2001,20,2490,168
2002,31,2556,221
2003,17,2500,153
2004,29,2097,242
2005,33,2701,234
2006,28,2514,227
2007,48,2477,343
2008,25,2677,225
2009,35,2481,257
2010,37,2397,261
2011,43,2688,311
2012,33,2325,224
2013,15,2327,139
2014,20,2436,162
2015,29,2351,189
2016,35,2631,245
2016
2017,52,2298,385
2018,59,2546,393
2019,43,2393,321
2020,58,2187,378
2021,61,2354,450
2022,49,2249,290
2023,36,2150,320
2024,55,2141,425
2025,57,2483,381
2026,54,2171,375
2027,63,1935,467
2028,46,2146,363
2029,51,2413,404
2030,40,2362,360
2031,56,2234,357
2032,66,2139,446
2033,63,2121,395
2034,43,2116,351
2035,40,2190,302
2036,65,2143,435
2037,46,2320,316
2038,63,2585,435
2039,40,2247,261
2040,62,2166,472
2041,23,2187,190
2042,52,2089,370
2043,76,2252,525
2044,64,2418,364
2045,54,1770,388
2046,30,2154,225
