year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1517,10,-263,3
1988,2071,14,-333,2
1989,1578,9,-261,7
1990,1811,12,-258,1
1991,1987,13,-292,4
1992,1830,13,-266,2
1993,1821,12,-352,0
1994,1776,12,-289,2
1995,1662,11,-311,1
1996,1848,11,-351,1
1997,1651,11,-107,3
1998,1555,10,-244,0
1999,1662,13,-124,1
2000,1778,11,-131,1
2001,1787,13,-216,0
2002,1613,10,-237,6
2003,1711,11,-328,0
2004,1673,9,-86,3
2005,1679,10,-301,2
2006,1794,11,-247,1
2007,1937,11,-438,0
2008,1757,10,-346,0
2009,1750,11,-176,4
2010,1728,10,-242,3
2011,1947,11,-332,3
2012,1661,9,-303,0
2013,1614,10,-89,0
2014,1709,11,-206,1
2015,1663,11,-170,0
2016,1747,10,-131,0
2016
2017,2049,12,-419,0
2018,1971,12,-480,1
2019,2039,13,-337,1
2020,2103,13,-531,4
2021,2195,12,-521,0
2022,1978,11,-255,0
2023,2050,14,-299,0
2024,2271,15,-487,0
2025,1959,12,-378,1
2026,2184,15,-402,0
2027,2112,13,-454,0
2028,2011,14,-304,3
2029,2140,14,-464,0
2030,1964,11,-484,4
2031,1981,14,-430,5
2032,2251,14,-384,0
2033,2098,11,-437,0
2034,1993,13,-322,6
2035,1772,13,-221,7
2036,2145,12,-459,1
2037,1991,12,-237,3
2038,2128,13,-461,2
2039,1756,12,-255,1
2040,2239,12,-323,3
2041,1786,12,-334,2
2042,2212,14,-266,0
2043,2173,12,-471,0
2044,1979,13,-400,8
2045,2211,14,-575,0
2046,1767,14,-405,0
