year,annual-frozen-days
1987,19
1988,19
1989,34
1990,36
1991,22
1992,43
1993,25
1994,21
1995,23
1996,16
1997,10
1998,20
1999,21
2000,15
2001,10
2002,0
2003,14
2004,18
2005,49
2006,40
2007,81
2008,54
2009,32
2010,28
2011,20
2012,38
2013,28
2014,7
2015,16
2016,23
