year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,7.5,13.1,18.6,10.0
1988,7.7,12.4,17.0,9.9
1989,7.4,13.3,18.6,11.2
1990,8.3,14.4,20.9,8.4
1991,6.7,13.6,19.9,9.2
1992,6.3,12.7,17.4,9.4
1993,7.6,12.6,16.6,8.5
1994,7.9,14.1,19.0,11.2
1995,7.9,13.9,17.5,11.0
1996,7.4,13.8,17.1,9.4
1997,9.3,13.7,18.3,11.0
1998,9.5,13.3,19.6,9.5
1999,7.8,14.0,18.8,9.4
2000,8.0,12.7,16.3,9.7
2001,8.5,14.2,18.6,9.6
2002,9.3,13.1,18.1,10.8
2003,7.7,14.0,19.2,9.5
2004,6.9,13.1,17.3,8.5
2005,6.7,14.5,18.9,9.5
2006,6.9,14.9,19.8,10.7
2007,6.5,11.9,16.1,7.3
2008,6.4,12.1,16.1,7.0
2009,6.9,15.0,19.7,11.8
2010,7.9,15.3,20.7,9.9
2011,8.6,16.5,19.3,11.5
2012,8.4,14.3,19.2,10.8
2013,8.1,13.4,20.6,9.3
2014,7.7,13.9,18.4,10.3
2015,7.4,15.8,19.0,11.9
2016,7.2,13.2,20.1,9.9
