year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,194,222,202,650
1988,668,500,90,272
1989,236,217,60,420
1990,181,129,54,334
1991,767,173,333,503
1992,223,279,279,563
1993,38,369,84,442
1994,501,402,212,660
1995,337,182,209,495
1996,682,273,198,556
1997,335,327,99,873
1998,142,378,158,190
1999,199,240,218,406
2000,40,338,112,802
2001,971,146,80,260
2002,392,176,217,758
2003,625,160,76,537
2004,241,119,91,404
2005,156,101,73,402
2006,351,137,182,728
2007,125,167,53,71
2008,155,181,56,156
2009,217,170,52,499
2010,409,148,34,378
2011,244,126,24,233
2012,27,187,72,262
2013,399,71,104,312
2014,902,267,221,531
2015,204,189,198,424
2016,566,266,38,111
