year,annual-estival-days
1987,42
1988,32
1989,68
1990,78
1991,67
1992,36
1993,35
1994,77
1995,47
1996,45
1997,48
1998,76
1999,71
2000,16
2001,62
2002,48
2003,58
2004,35
2005,85
2006,90
2007,46
2008,37
2009,101
2010,104
2011,107
2012,88
2013,90
2014,71
2015,83
2016,79

min,20
max,180
steps,9
decmals
