year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,112,164,221,237
1988,314,115,231,143
1989,144,141,133,202
1990,180,118,91,224
1991,91,206,182,234
1992,124,122,215,218
1993,114,126,262,300
1994,192,238,196,333
1995,240,51,149,127
1996,99,168,105,203
1997,89,190,119,345
1998,148,166,213,367
1999,200,150,290,252
2000,114,252,189,612
2001,380,173,277,219
2002,220,196,147,288
2003,109,112,111,169
2004,128,89,138,198
2005,97,159,195,231
2006,129,169,170,320
2007,196,162,233,172
2008,199,167,198,198
2009,171,167,142,477
2010,180,115,165,230
2011,133,72,172,223
2012,107,218,186,565
2013,105,109,133,367
2014,283,117,172,276
2015,245,106,305,210
2016,205,219,121,192
