year,A1,A2,A3
,label A1,label A2,label A3
1987,2,2627,23
1988,1,2712,17
1989,1,2618,22
1990,7,2754,48
1991,2,2777,32
1992,6,2561,62
1993,0,2504,15
1994,2,2546,21
1995,10,2546,60
1996,2,2600,32
1997,0,2591,15
1998,2,2693,14
1999,5,2555,55
2000,9,2671,54
2001,4,2681,31
2002,0,2675,20
2003,2,2723,14
2004,2,2580,36
2005,2,2436,19
2006,1,2633,19
2007,2,2715,18
2008,5,2904,46
2009,2,2792,13
2010,1,2717,13
2011,0,2435,11
2012,5,2618,43
2013,6,2566,38
2014,2,2781,18
2015,1,2719,33
2016,3,2579,33
2016
2017,5,2305,34
2018,1,2368,31
2019,2,2206,28
2020,2,2319,39
2021,1,2411,11
2022,6,2300,56
2023,2,2120,32
2024,4,2405,58
2025,7,2461,57
2026,5,2497,68
2027,2,2402,64
2028,4,2308,40
2029,2,2360,51
2030,0,2290,12
2031,4,2362,57
2032,1,2199,19
2033,3,2330,35
2034,3,2122,34
2035,3,2375,23
2036,0,2481,31
2037,0,2355,35
2038,2,2449,30
2039,6,2378,67
2040,10,2379,67
2041,1,2340,12
2042,5,2209,50
2043,6,2395,49
2044,0,2259,8
2045,0,2541,16
2046,4,2351,56
