year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,115,174,283,132
1988,127,108,275,143
1989,190,211,229,235
1990,208,117,446,172
1991,119,217,193,142
1992,148,136,187,191
1993,154,123,349,157
1994,164,388,200,150
1995,138,218,162,122
1996,92,154,176,168
1997,106,242,146,212
1998,129,251,204,119
1999,119,96,135,142
2000,114,115,285,126
2001,100,221,172,161
2002,156,121,49,134
2003,67,179,233,150
2004,115,176,183,196
2005,107,281,220,99
2006,58,117,263,140
2007,142,119,147,164
2008,141,115,108,148
2009,116,180,199,226
2010,111,195,287,186
2011,95,120,183,93
2012,129,200,195,219
2013,109,194,231,117
2014,126,248,189,110
2015,111,143,190,108
2016,125,147,253,198
