year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-9.4,10.0,13.6,1.0
1988,-2.8,11.9,15.6,-0.3
1989,1.6,12.1,15.3,0.9
1990,1.6,11.1,13.9,2.4
1991,-2.3,10.5,15.7,2.4
1992,-0.8,10.9,16.3,0.1
1993,-2.3,11.3,13.4,-0.4
1994,-4.9,10.7,16.3,0.7
1995,-0.5,12.2,15.2,-0.6
1996,-7.4,11.6,14.1,1.6
1997,-2.0,9.9,15.8,0.5
1998,-1.2,12.2,14.2,-1.3
1999,-3.1,12.8,16.2,2.0
2000,-1.2,12.2,14.0,4.5
2001,-2.7,11.7,17.1,0.6
2002,0.0,12.5,16.9,-2.0
2003,-4.2,10.7,15.8,2.3
2004,-3.9,10.2,15.6,2.5
2005,-4.9,10.8,16.0,2.2
2006,-6.6,10.8,16.8,5.3
2007,-1.9,11.9,15.9,2.5
2008,0.5,11.4,15.5,3.4
2009,-2.9,11.3,15.5,1.2
2010,-6.7,12.3,17.7,-0.2
2011,-5.2,12.5,17.1,4.0
2012,-5.0,11.4,16.3,1.6
2013,-5.9,13.0,15.8,4.3
2014,-1.0,11.7,16.6,1.8
2015,0.6,11.0,16.1,3.5
2016,-2.4,12.7,16.3,1.2
