year,annual-estival-days
1987,99
1988,89
1989,85
1990,89
1991,89
1992,74
1993,90
1994,117
1995,114
1996,102
1997,135
1998,116
1999,139
2000,142
2001,139
2002,78
2003,105
2004,96
2005,99
2006,93
2007,151
2008,122
2009,150
2010,129
2011,156
2012,147
2013,121
2014,123
2015,130
2016,118
