year,annual-frozen-days
1987,3
1988,0
1989,0
1990,0
1991,1
1992,1
1993,8
1994,21
1995,36
1996,22
1997,36
1998,53
1999,44
2000,35
2001,35
2002,0
2003,0
2004,1
2005,6
2006,0
2007,36
2008,33
2009,41
2010,40
2011,30
2012,43
2013,33
2014,3
2015,17
2016,12
