year,F1,F3,M4
,label F1,label F3,label M4
1987,38,110,5
1988,24,103,6
1989,25,109,8
1990,26,102,8
1991,24,105,5
1992,18,105,7
1993,21,97,7
1994,25,108,8
1995,36,114,8
1996,24,95,8
1997,23,109,5
1998,26,102,8
1999,28,105,6
2000,35,104,7
2001,17,111,6
2002,21,108,7
2003,27,105,10
2004,21,105,3
2005,27,97,5
2006,28,103,6
2007,22,106,5
2008,23,105,7
2009,27,110,6
2010,20,103,7
2011,22,106,7
2012,30,99,7
2013,31,103,8
2014,32,100,8
2015,18,98,7
2016,21,109,6
2016
2017,24,106,7
2018,24,100,6
2019,20,107,6
2020,20,98,8
2021,21,104,7
2022,20,111,6
2023,23,102,8
2024,33,105,9
2025,21,106,9
2026,38,105,9
2027,26,103,5
2028,27,101,7
2029,26,98,9
2030,20,98,10
2031,21,99,9
2032,21,99,7
2033,30,101,8
2034,15,105,9
2035,29,105,9
2036,22,104,9
2037,20,104,10
2038,22,96,7
2039,23,109,8
2040,20,98,9
2041,18,107,9
2042,20,92,9
2043,21,107,8
2044,18,100,7
2045,26,102,9
2046,20,98,9

min,,70
max,,140
steps,,11
decimal
