year,A1,A2,A3
,label A1,label A2,label A3
1987,41,1864,366
1988,43,1802,372
1989,50,1748,339
1990,30,1645,281
1991,55,1734,468
1992,61,1653,431
1993,64,1596,537
1994,43,1792,396
1995,79,1873,474
1996,58,1549,405
1997,39,1582,411
1998,66,1495,447
1999,32,1730,343
2000,51,1835,422
2001,50,1702,371
2002,67,1663,475
2003,57,1641,380
2004,43,1785,348
2005,50,1585,418
2006,65,1740,454
2007,56,1636,419
2008,56,1564,397
2009,54,1895,398
2010,55,1564,375
2011,52,1657,397
2012,45,1682,396
2013,57,1754,416
2014,58,1821,436
2015,66,1467,477
2016,57,1717,423
2016
2017,89,1656,645
2018,90,1407,645
2019,84,1566,559
2020,81,1392,582
2021,66,1438,530
2022,65,1711,462
2023,77,1465,573
2024,60,1613,560
2025,98,1597,674
2026,65,1687,541
2027,77,1462,631
2028,85,1514,629
2029,87,1387,681
2030,79,1356,631
2031,110,1421,722
2032,92,1435,631
2033,59,1614,527
2034,84,1483,625
2035,89,1639,599
2036,86,1490,555
2037,99,1443,691
2038,93,1308,623
2039,98,1518,625
2040,65,1498,506
2041,105,1425,679
2042,90,1428,591
2043,80,1565,571
2044,97,1346,643
2045,78,1550,536
2046,67,1479,490
