year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,24,0,-176,7,0,-492,55,3,70
1988,38,0,-236,9,0,-561,43,6,73
1989,13,0,-257,9,0,-569,41,3,40
1990,17,0,-256,10,0,-596,32,1,13
1991,34,0,-265,8,0,-541,52,1,120
1992,38,0,-249,7,0,-584,39,6,36
1993,20,0,-263,7,5,-656,38,1,0
1994,30,0,-313,9,0,-683,41,6,29
1995,35,0,-187,6,5,-551,52,1,18
1996,27,0,-225,9,0,-581,40,0,25
1997,35,0,-233,8,0,-581,39,1,82
1998,32,0,-218,11,0,-552,32,1,28
1999,24,0,-184,9,0,-509,47,7,92
2000,20,0,-241,10,0,-615,44,11,64
2001,17,0,-166,10,2,-518,50,0,63
2002,40,0,-203,9,6,-578,40,2,21
2003,22,0,-286,9,0,-641,38,2,21
2004,19,0,-125,8,0,-431,69,1,108
2005,22,0,-203,8,1,-546,35,5,70
2006,32,0,-257,9,1,-592,37,3,42
2007,24,0,-158,6,3,-487,42,3,56
2008,20,0,-222,11,0,-569,45,0,135
2009,21,0,-226,10,0,-572,37,4,28
2010,22,0,-191,9,0,-550,51,0,1
2011,15,0,-171,9,0,-523,50,0,59
2012,26,0,-221,9,3,-528,44,5,42
2013,21,0,-188,11,0,-533,44,1,0
2014,29,0,-156,10,1,-482,43,7,32
2015,30,0,-226,10,6,-552,51,2,178
2016,27,0,-234,9,0,-550,34,9,47
2016
2017,33,0,-264,8,6,-626,28,2,113
2018,32,0,-143,8,8,-515,17,0,82
2019,44,0,-317,10,1,-612,34,1,6
2020,46,0,-311,10,4,-652,21,1,183
2021,35,0,-292,8,1,-649,26,0,66
2022,24,0,-227,6,4,-561,48,2,76
2023,31,0,-180,8,6,-564,36,0,22
2024,29,0,-283,11,8,-684,30,0,199
2025,37,0,-277,8,8,-644,29,1,107
2026,31,0,-330,7,9,-740,32,0,155
2027,42,0,-271,10,8,-627,31,0,100
2028,51,0,-322,8,10,-640,34,0,76
2029,36,0,-273,9,16,-664,31,0,172
2030,40,0,-357,8,3,-681,34,0,285
2031,47,0,-261,9,6,-622,30,1,76
2032,45,0,-295,10,0,-525,37,0,128
2033,41,0,-305,9,14,-674,28,0,0
2034,36,0,-268,11,16,-672,34,3,111
2035,34,0,-278,9,5,-641,43,0,41
2036,40,0,-308,9,0,-648,27,1,242
2037,44,0,-318,6,8,-702,28,1,9
2038,48,0,-264,9,2,-565,28,1,70
2039,35,0,-247,10,6,-587,38,0,7
2040,31,0,-277,10,4,-636,35,1,67
2041,50,0,-266,11,6,-633,32,0,166
2042,37,0,-317,10,2,-644,32,1,126
2043,29,0,-294,9,0,-605,35,0,70
2044,52,0,-266,9,3,-601,21,4,102
2045,32,0,-274,10,4,-622,36,2,6
2046,27,0,-251,10,4,-595,50,0,107
