year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,10,-340,-407,110
1988,-56,-206,-444,89
1989,-115,-307,-405,-4
1990,-126,-181,-357,127
1991,-17,-217,-303,-11
1992,6,-177,-353,286
1993,-137,-229,-248,306
1994,-2,-265,-286,169
1995,-111,-168,-265,123
1996,216,-288,-16,265
1997,-51,-280,-340,167
1998,-102,-170,-348,-23
1999,71,-282,-205,252
2000,-132,-291,-351,378
2001,153,-294,-455,-70
2002,-118,-193,-308,153
2003,-85,-321,-444,-14
2004,-97,-290,-403,160
2005,-132,-331,-290,62
2006,-31,-397,-392,11
2007,-92,-269,-515,-41
2008,-30,-145,-432,389
2009,98,-214,-296,72
2010,91,61,-427,286
2011,138,-396,-375,205
2012,-113,-217,-448,399
2013,169,-68,-333,183
2014,290,-272,-309,531
2015,90,-305,-303,67
2016,-15,-297,-390,236
