year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,191,54,51,269
1988,168,103,7,255
1989,62,74,32,170
1990,52,181,72,284
1991,140,127,97,157
1992,180,187,74,440
1993,34,163,231,477
1994,178,145,219,296
1995,96,200,193,251
1996,356,113,415,403
1997,113,135,97,313
1998,60,228,114,124
1999,261,142,258,380
2000,43,137,140,514
2001,323,144,56,82
2002,63,208,129,316
2003,100,96,60,167
2004,85,102,72,323
2005,50,74,182,225
2006,147,12,83,182
2007,83,144,10,106
2008,150,248,63,522
2009,257,203,209,218
2010,244,453,73,427
2011,262,46,88,361
2012,60,221,56,554
2013,299,314,98,303
2014,436,119,123,656
2015,250,101,167,181
2016,146,112,65,354
