year,annual-precipitations
1987,858
1988,1123
1989,882
1990,1116
1991,802
1992,863
1993,927
1994,633
1995,602
1996,521
1997,797
1998,1129
1999,1146
2000,1251
2001,802
2002,1245
2003,845
2004,1143
2005,1065
2006,1093
2007,1341
2008,1146
2009,1099
2010,974
2011,1141
2012,939
2013,935
2014,1013
2015,1224
2016,1010
