year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.9,10.2,13.8,6.7
1988,5.0,11.0,12.9,7.6
1989,5.9,10.0,14.5,6.8
1990,6.4,10.7,14.0,6.9
1991,4.5,9.7,14.5,7.2
1992,6.0,11.0,12.9,6.3
1993,6.2,10.5,12.8,6.2
1994,5.0,9.5,13.4,8.6
1995,5.2,10.6,15.2,8.0
1996,4.9,9.8,14.0,7.1
1997,6.0,10.6,14.7,8.4
1998,6.7,10.3,14.0,7.5
1999,5.7,10.9,14.7,7.4
2000,6.3,10.3,14.5,6.6
2001,4.2,10.6,14.0,8.3
2002,6.7,10.8,14.1,7.3
2003,5.7,11.4,15.0,7.4
2004,5.4,11.3,14.3,7.6
2005,6.4,10.8,14.5,7.8
2006,5.1,10.9,15.4,8.1
2007,6.0,11.7,13.8,8.6
2008,5.5,11.1,14.1,6.4
2009,5.2,11.1,14.0,6.7
2010,3.0,11.1,14.0,4.1
2011,5.2,11.2,13.6,8.4
2012,6.9,9.8,13.7,6.0
2013,4.0,9.9,15.1,7.7
2014,5.4,11.7,14.3,7.6
2015,4.7,9.9,12.9,8.2
2016,5.2,10.8,14.5,7.2
