year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,112,10,43,197
1988,313,-93,170,184
1989,188,-75,-27,204
1990,242,22,-23,307
1991,123,-39,-60,231
1992,143,-56,76,127
1993,86,106,46,132
1994,103,-63,-58,79
1995,131,-178,-149,155
1996,28,-132,-63,110
1997,62,-21,-33,225
1998,182,50,98,278
1999,93,-3,125,391
2000,225,37,36,380
2001,113,-41,15,154
2002,226,114,-26,372
2003,127,10,-53,172
2004,191,27,128,266
2005,171,21,14,312
2006,119,-16,64,350
2007,330,5,163,291
2008,356,-85,192,166
2009,155,14,91,349
2010,147,-108,199,216
2011,187,33,18,398
2012,126,34,44,245
2013,126,3,-21,303
2014,341,-72,-90,326
2015,253,-43,41,475
2016,258,-12,101,135
