year,annual-estival-days
1987,0
1988,0
1989,13
1990,3
1991,0
1992,0
1993,0
1994,0
1995,4
1996,0
1997,0
1998,0
1999,2
2000,1
2001,0
2002,0
2003,4
2004,0
2005,1
2006,5
2007,1
2008,0
2009,1
2010,1
2011,0
2012,1
2013,8
2014,3
2015,0
2016,2
