year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,169,202,237,249
1988,386,136,362,240
1989,263,160,209,250
1990,323,239,190,362
1991,187,165,156,294
1992,216,169,285,193
1993,174,309,246,199
1994,185,148,150,150
1995,212,57,99,235
1996,108,96,146,171
1997,135,194,185,283
1998,254,249,290,337
1999,169,204,327,447
2000,302,256,250,442
2001,183,180,218,221
2002,316,329,171,429
2003,211,234,167,233
2004,261,241,323,317
2005,246,232,218,369
2006,186,213,285,409
2007,401,229,361,350
2008,426,142,371,207
2009,210,226,276,386
2010,199,124,395,256
2011,241,250,206,444
2012,191,231,234,283
2013,180,209,194,352
2014,399,137,109,369
2015,309,163,226,526
2016,325,209,298,179
