year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,19,8,-79,4,6,-163,62,27,155
1988,7,2,-67,1,3,-109,68,18,120
1989,16,1,-51,3,1,-179,58,19,80
1990,9,9,-21,2,2,-71,61,20,170
1991,9,9,-125,5,0,-299,64,28,98
1992,7,3,-50,3,0,-170,60,14,96
1993,10,2,-54,2,3,-150,64,31,129
1994,2,2,-31,3,0,-146,69,26,141
1995,14,1,-43,5,1,-106,70,30,109
1996,11,4,-94,3,0,-254,63,23,117
1997,8,1,-96,1,0,-153,58,35,130
1998,7,4,-51,3,7,-231,67,30,70
1999,4,3,-8,3,5,-108,70,19,141
2000,6,5,-24,4,2,-162,68,17,108
2001,14,5,-71,5,1,-175,59,27,128
2002,11,5,-72,3,0,-119,58,20,142
2003,15,0,-123,3,1,-246,50,25,97
2004,9,3,-11,3,0,-98,78,31,174
2005,12,0,-106,4,4,-185,60,27,188
2006,6,3,-42,4,0,-71,61,25,140
2007,8,4,-50,5,0,-171,77,25,137
2008,7,2,6,2,0,-117,62,20,89
2009,9,1,-81,2,1,-196,62,6,126
2010,6,6,-33,3,0,-146,66,20,68
2011,4,1,-65,3,1,-147,67,16,144
2012,6,1,-16,3,0,-95,64,33,97
2013,3,5,30,1,2,18,70,36,109
2014,7,2,-5,4,0,-127,76,19,165
2015,4,1,-27,4,0,-155,76,25,122
2016,4,0,9,2,5,-93,64,26,118
2016
2017,17,7,-26,3,9,-228,58,9,36
2018,24,7,-79,3,0,-156,42,19,160
2019,10,8,-53,7,1,-109,54,8,170
2020,22,2,-69,2,8,-188,53,14,92
2021,16,2,-136,4,4,-302,56,10,137
2022,13,4,35,1,0,-105,58,24,94
2023,17,0,-122,3,2,-232,57,11,97
2024,32,3,-137,7,1,-372,44,13,64
2025,4,6,-86,6,0,-253,59,12,115
2026,15,0,-144,4,1,-368,54,14,69
2027,15,4,-164,7,0,-322,50,11,126
2028,28,8,-106,4,2,-269,43,25,110
2029,11,8,-118,4,2,-347,51,20,50
2030,18,13,-141,5,6,-301,64,27,135
2031,25,1,-68,6,5,-223,46,16,146
2032,26,0,-77,3,0,-185,45,25,135
2033,16,4,-14,5,2,-199,51,7,54
2034,32,1,-125,6,5,-286,46,20,133
2035,23,2,-95,3,0,-216,46,20,66
2036,15,7,-126,2,0,-242,53,12,145
2037,21,2,-25,1,1,-174,44,22,125
2038,16,1,-67,4,4,-165,61,11,164
2039,9,1,15,6,9,-140,72,9,91
2040,20,2,-15,4,5,-209,55,11,109
2041,21,3,-65,5,2,-197,53,27,87
2042,21,0,-31,2,0,-157,60,13,121
2043,8,5,-69,4,2,-152,55,10,106
2044,25,8,-130,5,5,-273,54,13,105
2045,21,2,-70,5,0,-153,51,9,137
2046,14,9,-123,6,2,-266,63,16,125

min,,,,0
max,,,,14
steps,,,,8
decimal
