year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.7,12.0,17.0,7.0
1988,5.2,13.2,16.2,7.3
1989,5.5,12.7,17.4,7.0
1990,6.6,12.6,16.8,6.9
1991,3.7,11.0,18.3,5.7
1992,4.5,13.1,17.3,6.3
1993,4.0,14.0,15.4,5.6
1994,4.2,11.8,17.1,8.1
1995,4.9,12.1,17.5,6.9
1996,2.2,11.8,15.1,5.3
1997,4.1,12.0,17.2,6.7
1998,4.2,12.4,15.4,4.9
1999,4.4,12.3,17.2,5.9
2000,4.5,13.0,15.9,7.8
2001,4.7,11.8,16.0,6.6
2002,5.1,12.6,15.9,7.4
2003,3.3,13.2,17.0,5.9
2004,3.4,11.6,16.8,5.7
2005,3.3,12.8,16.2,6.6
2006,2.2,12.5,18.0,8.5
2007,6.0,14.6,14.9,5.6
2008,4.9,12.6,15.3,5.6
2009,2.4,13.1,16.6,6.6
2010,2.5,12.0,16.3,4.9
2011,4.8,14.0,16.1,7.7
2012,3.9,12.7,16.4,7.1
2013,2.0,11.7,17.6,7.4
2014,6.0,13.4,16.9,8.3
2015,3.7,12.9,17.6,8.9
2016,4.6,13.0,18.1,6.1
