year,annual-hydric-deficit
1987,93
1988,81
1989,-243
1990,-182
1991,-225
1992,-98
1993,-34
1994,213
1995,291
1996,30
1997,141
1998,424
1999,478
2000,478
2001,510
2002,408
2003,54
2004,198
2005,2
2006,309
2007,496
2008,428
2009,256
2010,162
2011,107
2012,492
2013,-9
2014,-10
2015,-219
2016,-87
