year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,72,-83,-3,107
1988,132,-134,-47,129
1989,23,-114,-190,38
1990,43,-105,-217,96
1991,34,-141,-202,84
1992,-17,-54,-140,112
1993,4,-141,-96,199
1994,182,-84,-102,217
1995,435,-118,-108,82
1996,65,-182,-47,195
1997,117,-35,-150,209
1998,126,33,-31,295
1999,218,-68,-4,332
2000,200,-87,21,344
2001,368,-66,28,180
2002,228,-100,-30,310
2003,118,-83,-158,177
2004,134,-69,14,119
2005,82,-137,-41,97
2006,129,-21,-52,253
2007,276,6,46,168
2008,287,-46,5,181
2009,160,-59,-95,250
2010,127,-160,32,162
2011,81,-115,-67,209
2012,67,125,-8,309
2013,13,-23,-146,148
2014,45,-146,-51,142
2015,42,-226,-117,82
2016,106,9,-228,26
