year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,712,576,-46,-166,49,9.5,3575,33,17.1,78
1988,718,543,7,-209,92,9.6,3553,32,17.1,61
1989,714,570,-44,-248,80,10.6,3902,36,17.4,53
1990,929,544,201,-59,91,9.4,3498,15,15.5,79
1991,600,658,-300,-423,45,9.2,3402,27,16.1,85
1992,838,545,95,-215,144,9.8,3644,23,16.5,67
1993,817,691,-140,-245,12,9.7,3579,31,17.4,72
1994,725,642,-198,-227,4,9.9,3656,15,16.2,68
1995,741,530,26,-154,75,9.4,3494,21,16.6,75
1996,797,686,-188,-303,41,9.6,3551,33,16.4,75
1997,900,639,-6,-157,120,9.9,3730,23,17.3,72
1998,682,570,-67,-302,130,10.0,3747,44,18.8,73
1999,933,669,-27,-193,91,9.9,3675,23,16.9,59
2000,723,657,-177,-270,16,10.1,3736,26,16.8,58
2001,645,541,-89,-244,56,9.6,3523,29,15.9,81
2002,828,563,91,-172,135,9.8,3657,26,16.7,57
2003,728,613,-68,-311,134,10.2,3768,33,17.0,61
2004,904,556,156,-85,113,9.1,3433,29,17.1,87
2005,841,585,66,-202,142,10.7,3954,33,17.7,58
2006,806,528,91,-131,115,9.9,3692,8,15.4,63
2007,746,546,21,-161,88,9.0,3349,14,15.7,70
2008,868,540,145,-135,133,9.9,3658,19,16.5,58
2009,813,558,64,-223,162,10.5,3877,26,16.2,46
2010,694,538,-42,-191,109,9.7,3624,34,17.0,72
2011,815,557,78,-172,119,10.2,3751,16,16.3,55
2012,749,542,23,-147,38,9.8,3633,23,16.1,57
2013,790,528,78,-38,61,9.3,3455,22,16.5,87
2014,701,566,-57,-131,18,10.4,3847,33,17.6,45
2015,870,562,129,-203,145,9.9,3695,23,16.5,45
2016,873,556,140,-137,113,9.9,3713,32,17.8,66
2016
2017,629,619,-177,-352,81,10.7,3917,34,18.0,51
2018,938,590,163,-131,146,11.2,4111,44,17.7,55
2019,932,583,173,-201,261,10.3,3799,39,17.4,52
2020,799,576,42,-228,204,10.6,3873,42,17.2,57
2021,716,695,-235,-357,90,11.0,4055,40,17.4,48
2022,733,545,6,-142,101,9.7,3619,38,18.0,75
2023,965,714,-37,-309,162,10.9,4005,35,16.3,32
2024,664,707,-308,-462,100,10.8,3974,56,17.7,55
2025,758,569,13,-291,162,10.0,3711,40,17.9,70
2026,794,740,-230,-466,135,11.0,4069,43,18.2,46
2027,675,680,-260,-407,104,10.1,3715,31,16.3,59
2028,686,622,-113,-316,74,11.5,4240,72,19.4,54
2029,740,739,-305,-479,78,10.5,3877,40,17.8,57
2030,708,699,-259,-407,100,9.9,3685,43,17.6,81
2031,880,593,99,-208,199,10.4,3856,47,17.7,72
2032,825,579,64,-221,130,10.4,3842,39,16.8,64
2033,684,598,-111,-286,117,11.1,4060,50,17.1,50
2034,718,629,-107,-314,100,12.0,4423,64,18.8,48
2035,639,583,-133,-278,73,10.9,3983,49,17.9,61
2036,765,590,-6,-291,110,10.3,3816,38,17.2,54
2037,858,575,85,-141,74,10.8,3976,36,16.8,59
2038,772,554,44,-187,128,10.7,3932,44,17.7,44
2039,707,566,-43,-230,61,10.6,3904,51,18.6,51
2040,808,571,38,-234,195,12.0,4419,51,18.4,34
2041,782,557,41,-219,100,10.1,3699,34,16.5,80
2042,906,566,156,-148,187,10.9,3988,40,17.2,38
2043,668,596,-122,-243,77,10.9,4012,44,18.2,55
2044,732,589,-41,-296,182,11.1,4097,52,17.8,57
2045,765,561,13,-132,66,10.9,3974,29,16.5,43
2046,727,581,-30,-334,135,10.5,3858,39,18.0,52

min,500,400,,,,8,3000,,14
max,1000,900,,,,14,5000,,22
steps,11,11,,,,7,11,,5
decimal
