year,A1,A2,A3
,label A1,label A2,label A3
1987,18,2938,115
1988,12,2912,86
1989,17,2621,116
1990,9,2831,50
1991,9,2954,59
1992,13,2799,84
1993,11,2928,109
1994,4,2702,49
1995,5,2892,56
1996,9,2868,77
1997,7,2807,78
1998,29,2877,184
1999,9,2785,79
2000,9,2648,73
2001,12,2834,73
2002,10,2786,82
2003,18,2715,103
2004,11,3035,95
2005,15,2601,134
2006,1,2617,15
2007,6,2978,43
2008,8,2761,61
2009,7,2434,54
2010,16,2826,99
2011,5,2586,43
2012,11,2716,73
2013,10,2921,70
2014,15,2558,99
2015,7,2713,63
2016,22,2842,129
2016
2017,19,2581,155
2018,17,2443,117
2019,22,2663,134
2020,22,2678,174
2021,17,2447,132
2022,14,2937,101
2023,13,2386,99
2024,13,2625,146
2025,21,2802,135
2026,12,2483,123
2027,5,2724,70
2028,46,2460,259
2029,13,2619,144
2030,20,2800,167
2031,26,2760,162
2032,15,2661,109
2033,20,2385,149
2034,38,2289,253
2035,32,2570,176
2036,13,2671,89
2037,11,2468,85
2038,16,2504,131
2039,32,2619,216
2040,20,2141,158
2041,20,2681,126
2042,17,2440,99
2043,20,2546,141
2044,29,2496,190
2045,10,2445,77
2046,25,2635,137
