year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.7,12.2,18.4,6.9
1988,4.5,14.0,17.3,6.7
1989,4.6,13.1,17.8,6.3
1990,5.8,13.3,17.3,6.3
1991,3.5,11.4,19.4,5.4
1992,3.9,14.4,19.4,6.6
1993,3.8,14.7,16.8,5.6
1994,5.5,13.4,19.0,8.6
1995,4.6,12.8,17.8,7.3
1996,2.9,13.5,16.0,5.9
1997,4.3,13.3,18.3,6.8
1998,5.0,14.0,17.4,5.2
1999,4.2,13.9,19.1,5.9
2000,4.7,14.6,17.7,8.4
2001,5.5,13.3,17.5,6.2
2002,5.6,14.2,17.2,7.6
2003,3.8,15.5,19.3,6.3
2004,3.9,13.3,18.2,6.3
2005,3.2,14.6,17.7,6.7
2006,2.2,14.2,18.5,8.6
2007,6.2,15.9,16.5,5.4
2008,4.9,14.1,17.0,6.2
2009,2.2,15.0,18.7,7.4
2010,2.7,13.5,17.4,5.5
2011,4.9,15.3,17.8,8.2
2012,3.7,14.2,18.1,7.3
2013,2.3,12.8,18.8,7.5
2014,6.6,14.5,17.8,8.9
2015,4.1,14.5,19.3,8.6
2016,4.7,13.4,19.1,6.1
