year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,205,354,308,249
1988,436,176,239,290
1989,183,268,184,321
1990,249,283,185,366
1991,157,177,257,265
1992,104,195,121,250
1993,97,258,318,381
1994,282,300,233,182
1995,369,202,231,207
1996,65,182,184,360
1997,132,305,202,317
1998,179,317,268,215
1999,311,339,263,387
2000,190,212,344,393
2001,396,346,284,186
2002,223,186,204,430
2003,180,169,198,275
2004,232,169,237,321
2005,139,322,223,178
2006,281,201,387,214
2007,268,284,269,167
2008,197,252,321,199
2009,204,248,152,347
2010,179,192,301,280
2011,146,214,248,281
2012,131,279,246,342
2013,146,334,201,294
2014,209,152,310,286
2015,209,193,200,129
2016,365,396,138,135
