year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,134,97,27,177
1988,355,-93,-46,224
1989,90,-28,-115,235
1990,151,27,-106,301
1991,74,-71,-63,208
1992,16,-114,-205,187
1993,4,-17,41,315
1994,196,37,-72,107
1995,275,-57,-59,133
1996,-22,-106,-97,298
1997,43,9,-97,248
1998,79,30,-17,153
1999,233,67,-36,316
2000,106,-84,71,323
2001,317,74,4,118
2002,126,-110,-59,360
2003,80,-157,-139,209
2004,142,-112,-53,260
2005,59,26,-63,103
2006,209,-82,102,147
2007,176,-15,11,106
2008,114,-7,54,139
2009,132,-54,-147,279
2010,96,-76,19,213
2011,61,-104,-30,207
2012,35,7,-28,267
2013,77,83,-103,224
2014,112,-158,46,218
2015,124,-113,-143,65
2016,281,147,-164,73
