year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,204,-11,-23,225
1988,275,-40,74,231
1989,214,-122,-82,301
1990,190,-61,-112,157
1991,309,1,20,249
1992,114,6,149,196
1993,207,159,122,306
1994,436,78,75,381
1995,380,-103,-81,483
1996,493,12,28,365
1997,199,0,157,395
1998,84,20,-25,291
1999,83,-54,122,146
2000,71,-103,-75,293
2001,172,-153,-12,77
2002,195,41,-113,355
2003,62,11,-62,111
2004,129,-73,58,108
2005,90,-21,-46,200
2006,65,-76,-30,355
2007,171,-2,35,120
2008,150,-1,133,123
2009,102,2,147,392
2010,154,-86,30,170
2011,100,-6,-48,159
2012,18,112,47,231
2013,202,-29,-88,286
2014,357,-57,-125,263
2015,113,-4,85,466
2016,317,-36,1,92
