year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,278,192,199,298
1988,366,178,268,292
1989,287,126,172,372
1990,271,164,126,229
1991,378,218,223,309
1992,188,228,347,253
1993,280,360,327,369
1994,504,274,262,437
1995,454,128,161,540
1996,564,234,241,413
1997,261,219,353,442
1998,154,243,201,351
1999,158,162,334,208
2000,146,116,161,371
2001,249,96,233,160
2002,293,254,110,427
2003,155,233,172,190
2004,219,169,283,184
2005,178,195,186,272
2006,146,158,213,421
2007,254,234,256,189
2008,234,220,332,197
2009,182,220,341,455
2010,224,142,255,238
2011,174,214,157,230
2012,108,317,247,297
2013,277,200,151,356
2014,440,162,121,338
2015,198,221,284,538
2016,399,195,203,170
