year,annual-frozen-days
1987,15
1988,3
1989,2
1990,3
1991,11
1992,6
1993,3
1994,3
1995,14
1996,10
1997,7
1998,2
1999,2
2000,8
2001,9
2002,0
2003,3
2004,7
2005,3
2006,5
2007,1
2008,1
2009,11
2010,40
2011,4
2012,1
2013,9
2014,0
2015,4
2016,0
