year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,935,11,-81,0
1988,1013,11,-42,1
1989,914,10,-53,0
1990,988,12,-42,0
1991,963,11,-199,0
1992,897,10,-7,0
1993,994,11,-217,0
1994,1017,11,-173,0
1995,994,12,-86,0
1996,1042,11,-326,0
1997,911,10,-198,1
1998,960,11,-94,0
1999,952,10,-341,1
2000,1037,11,-164,0
2001,992,11,-89,0
2002,971,10,-17,0
2003,940,10,-38,0
2004,952,11,-107,1
2005,949,11,-198,0
2006,1066,11,27,1
2007,1069,11,-33,0
2008,1002,11,-178,0
2009,976,11,-111,1
2010,867,12,-53,0
2011,1042,11,4,0
2012,915,10,-111,0
2013,877,10,27,3
2014,1017,11,19,0
2015,1023,11,-123,0
2016,1063,12,78,0
2016
2017,1127,13,-202,0
2018,1054,11,-65,0
2019,1077,12,-110,0
2020,1101,12,-155,0
2021,1023,12,-165,0
2022,1109,11,-66,0
2023,1175,13,-402,0
2024,1165,11,-377,1
2025,1053,11,-57,0
2026,1057,12,-341,1
2027,1083,11,-353,1
2028,1092,12,-55,0
2029,1101,11,-372,0
2030,1108,12,-237,0
2031,1134,14,-56,0
2032,1040,12,-66,0
2033,1070,12,-23,0
2034,1071,12,-69,0
2035,1050,12,-143,2
2036,1130,11,-104,0
2037,1070,11,-107,0
2038,1098,11,-35,0
2039,1033,13,-115,0
2040,1081,12,-11,1
2041,1075,12,-153,0
2042,1068,11,18,0
2043,1013,11,-188,0
2044,1070,12,-170,2
2045,1141,13,5,0
2046,1025,11,-93,0
