year,A1,A2,A3
,label A1,label A2,label A3
1987,0,2221,7
1988,0,2291,8
1989,0,2309,9
1990,1,2327,9
1991,1,2221,9
1992,0,2434,8
1993,0,2243,8
1994,0,2257,11
1995,0,2215,6
1996,1,2263,9
1997,1,2283,13
1998,0,2320,3
1999,0,2349,5
2000,1,2240,10
2001,0,2398,5
2002,1,2323,14
2003,1,2369,5
2004,0,2407,7
2005,0,2358,2
2006,3,2161,20
2007,1,2302,12
2008,0,2311,12
2009,2,2360,12
2010,1,2283,8
2011,3,2260,24
2012,0,2315,0
2013,0,2360,5
2014,2,2376,17
2015,0,2389,9
2016,1,2331,11
2016
2017,1,2166,28
2018,0,1988,10
2019,4,2123,21
2020,2,2153,38
2021,0,2013,6
2022,1,2124,14
2023,1,1974,30
2024,1,2158,24
2025,3,2057,16
2026,0,2204,8
2027,0,1929,20
2028,1,2095,13
2029,0,2139,25
2030,0,2076,3
2031,0,1958,8
2032,1,2073,10
2033,0,2187,6
2034,0,2088,18
2035,4,2103,24
2036,1,2103,21
2037,0,2227,7
2038,0,2068,13
2039,0,2164,11
2040,0,2161,9
2041,0,2027,11
2042,1,2092,19
2043,0,2192,11
2044,0,2117,7
2045,0,2048,14
2046,2,2125,20
