year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.6,10.8,14.6,8.6
1988,6.6,11.5,13.4,9.4
1989,7.4,11.1,15.8,9.2
1990,7.8,11.3,15.1,8.4
1991,5.8,11.1,15.4,8.4
1992,7.4,12.0,14.0,7.7
1993,7.4,11.5,14.1,7.8
1994,7.0,10.6,14.0,10.1
1995,6.8,11.9,16.6,9.6
1996,6.2,10.9,15.2,8.4
1997,7.3,12.0,15.8,10.1
1998,8.0,11.4,15.2,9.4
1999,7.6,11.8,15.7,9.2
2000,7.4,11.2,15.5,8.3
2001,6.3,11.7,15.2,9.9
2002,8.4,11.0,14.9,9.3
2003,7.2,11.6,15.7,9.2
2004,7.1,12.0,15.1,9.3
2005,7.3,11.4,15.6,9.4
2006,6.6,11.7,16.1,9.7
2007,7.5,12.6,14.8,10.3
2008,7.4,11.6,14.4,8.4
2009,6.5,11.5,14.4,8.7
2010,4.9,11.7,14.9,7.0
2011,6.7,11.6,14.0,9.9
2012,8.5,10.6,14.4,8.3
2013,5.9,10.8,15.9,9.3
2014,6.8,12.1,15.8,9.6
2015,6.4,11.3,13.9,10.6
2016,6.8,11.8,15.1,9.1
