year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,44,-136,-71,10
1988,37,-159,-77,55
1989,51,-171,-122,33
1990,22,-154,-93,35
1991,39,-112,-153,70
1992,81,-73,249,133
1993,127,-32,-52,105
1994,67,-48,-40,116
1995,100,-67,-15,148
1996,21,7,-48,134
1997,122,-113,-63,74
1998,132,12,32,145
1999,73,-100,-25,126
2000,143,29,-30,136
2001,65,-44,51,85
2002,70,-82,-4,36
2003,56,-75,-13,81
2004,78,-59,76,109
2005,61,-32,64,127
2006,39,-147,-68,134
2007,75,-97,30,100
2008,97,-39,31,120
2009,22,-104,45,91
2010,79,-89,70,56
2011,48,-68,-28,190
2012,75,-25,-1,164
2013,34,-46,-100,139
2014,63,-41,-27,96
2015,73,-2,51,129
2016,81,-13,80,79
