year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,56,50,104,30
1988,50,56,118,69
1989,67,55,79,40
1990,44,60,85,43
1991,54,64,40,77
1992,99,142,406,140
1993,142,147,136,114
1994,83,146,160,126
1995,127,118,169,164
1996,45,179,140,157
1997,146,77,137,90
1998,152,173,197,160
1999,88,82,139,138
2000,162,196,145,154
2001,85,140,225,99
2002,94,141,184,50
2003,83,118,183,95
2004,98,118,248,123
2005,82,155,258,148
2006,58,70,145,146
2007,98,101,202,121
2008,118,146,189,132
2009,44,102,241,101
2010,95,110,248,70
2011,69,150,170,202
2012,93,155,180,175
2013,52,168,100,153
2014,90,149,184,107
2015,101,181,214,140
2016,101,188,256,92
