year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,172,95,68,122
1988,76,230,39,51
1989,55,136,74,306
1990,37,133,53,108
1991,120,34,28,54
1992,35,111,48,209
1993,20,181,68,162
1994,81,117,32,141
1995,82,43,32,244
1996,155,146,41,154
1997,65,164,138,319
1998,89,160,48,71
1999,60,72,195,147
2000,48,162,55,256
2001,270,41,113,61
2002,93,97,60,192
2003,140,101,49,189
2004,86,91,27,123
2005,30,69,9,149
2006,93,74,44,134
2007,75,196,56,81
2008,56,207,27,119
2009,55,49,5,115
2010,160,134,56,136
2011,115,118,52,87
2012,28,113,45,129
2013,177,88,60,109
2014,134,44,73,142
2015,55,139,46,81
2016,176,127,14,124
