year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,40,-322,-411,12
1988,-83,-103,-445,-68
1989,-84,-239,-424,173
1990,-112,-249,-434,-3
1991,2,-375,-439,-50
1992,-106,-272,-405,108
1993,-106,-154,-385,57
1994,-48,-265,-419,36
1995,-66,-370,-433,103
1996,26,-219,-405,46
1997,-77,-185,-269,201
1998,-51,-190,-409,-32
1999,-70,-313,-247,48
2000,-87,-196,-399,137
2001,142,-349,-337,-58
2002,-50,-308,-395,72
2003,11,-305,-447,81
2004,-36,-293,-462,-3
2005,-106,-373,-503,27
2006,-30,-351,-436,12
2007,-47,-140,-356,-12
2008,-67,-121,-366,27
2009,-72,-324,-413,-5
2010,43,-222,-360,27
2011,-11,-295,-437,-48
2012,-100,-252,-375,22
2013,65,-252,-371,2
2014,6,-360,-378,29
2015,-76,-274,-430,-34
2016,59,-229,-447,22
