year,F1,F3,M4
,label F1,label F3,label M4
1987,37,111,8
1988,35,107,4
1989,25,104,6
1990,39,110,4
1991,51,118,6
1992,38,109,7
1993,26,110,5
1994,36,110,7
1995,20,113,6
1996,30,104,3
1997,34,103,7
1998,31,107,8
1999,41,113,8
2000,34,113,7
2001,25,107,8
2002,23,107,3
2003,40,113,6
2004,37,109,7
2005,36,108,6
2006,24,111,5
2007,37,109,7
2008,30,117,3
2009,34,105,5
2010,35,102,8
2011,22,110,4
2012,41,102,4
2013,27,103,7
2014,42,104,4
2015,19,103,5
2016,48,112,6
2016
2017,35,106,6
2018,39,107,7
2019,27,104,8
2020,31,107,9
2021,39,102,8
2022,28,109,6
2023,30,107,5
2024,26,101,7
2025,28,107,8
2026,27,109,8
2027,23,103,9
2028,28,106,7
2029,32,102,6
2030,30,108,7
2031,26,109,7
2032,23,101,10
2033,34,103,8
2034,28,112,8
2035,28,114,7
2036,30,100,7
2037,27,112,8
2038,20,105,9
2039,19,109,9
2040,25,99,7
2041,26,116,9
2042,22,118,6
2043,21,101,8
2044,27,104,6
2045,39,115,5
2046,34,100,9
