year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,20,-356,-341,94
1988,-21,-238,-481,-83
1989,-122,-422,-563,-91
1990,-81,-265,-412,46
1991,-45,-345,-349,-11
1992,-97,-239,-385,-56
1993,-121,-238,-456,-31
1994,-45,-329,-339,76
1995,-75,-206,-364,73
1996,28,-340,-225,38
1997,-92,-350,-392,-26
1998,-147,-273,-331,-74
1999,-9,-349,-333,45
2000,-86,-271,-363,257
2001,-32,-366,-425,-49
2002,-43,-309,-250,119
2003,-86,-377,-439,58
2004,-126,-381,-479,82
2005,-159,-309,-387,-13
2006,-63,-476,-403,-58
2007,-111,-299,-523,-72
2008,-52,-209,-382,179
2009,-72,-312,-436,123
2010,76,-241,-447,77
2011,30,-342,-361,18
2012,-165,-343,-445,26
2013,-38,-254,-375,25
2014,136,-303,-311,115
2015,37,-358,-395,-38
2016,-31,-372,-456,82
